STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE
West Virginia,2006,2814536,2852607,897874
Wisconsin,2006,9855692,9779642,3064437
Wyoming,2006,1150345,1146527,362807
Alabama,2005,5889966,5904664,1744013
Alaska,2005,1599739,1751718,559084
Arizona,2005,7550109,7136794,2264931
Arkansas,2005,3978240,3999608,1173643
California,2005,62171797,66196072,18046385
Colorado,2005,6910296,7284280,2343655
Connecticut,2005,7898694,7452057,2200133
Delaware,2005,1431710,1480157,424220
District of Columbia,2005,1109605,1085658,450060
Florida,2005,23216404,23857012,6876508
Georgia,2005,14724731,14492666,3954215
Hawaii,2005,2274166,1765805,559178
Idaho,2005,1796035,1819519,531569
Illinois,2005,21611180,22035569,6900767
Indiana,2005,11653165,11071431,3228234
Iowa,2005,4638125,4599549,1301312
Kansas,2005,4223632,4076597,1257432
Kentucky,2005,5444309,5750671,1660844
Louisiana,2005,5975074,5941561,1854202
Maine,2005,2324789,2325138,620991
Maryland,2005,9906219,9782665,2934277
Massachusetts,2005,12976279,12726283,3750687
Michigan,2005,19106382,20489512,6479470
Minnesota,2005,8777363,9082593,2157574
Mississippi,2005,3639643,3610904,1096574
Missouri,2005,8340865,8170965,2452665
Montana,2005,1293070,1268328,412180
Nebraska,2005,2895640,2708776,751435
Nevada,2005,3381646,3483540,926213
New Hampshire,2005,2332695,2333264,651058
New Jersey,2005,23026334,23023365,7408034
New Mexico,2005,2982991,3011696,955266
New York,2005,43936450,45086872,11303872
North Carolina,2005,11098165,10917913,3039968
North Dakota,2005,969520,985502,258404
Ohio,2005,19746239,19785561,6526386
Oklahoma,2005,4892548,4785987,1569038
Oregon,2005,5022050,5597579,1680005
Pennsylvania,2005,22657782,23183924,6638401
Rhode Island,2005,1903472,1790591,616544
South Carolina,2005,6337711,6572191,1903030
South Dakota,2005,1053504,1059303,316892
Tennessee,2005,6806262,7067521,1907907
Texas,2005,37783715,40302144,10963041
Utah,2005,3181279,3188018,771298
Vermont,2005,1628681,1634534,392627
Virginia,2005,12182657,12385157,3699703
Washington,2005,9141383,9399603,2692637
West Virginia,2005,2701056,2698703,852145
Wisconsin,2005,9584108,9433502,2944041
Wyoming,2005,1132160,1033603,324752
Alabama,2004,5356113,5450269,1580654
Alaska,2004,1477152,1647250,527349
Arizona,2004,7117923,6731212,2115629
Arkansas,2004,3385818,3539569,1036279
California,2004,60162326,62647953,17338877
Colorado,2004,6527456,6869975,2190563
Connecticut,2004,7276945,7087023,2044339
Delaware,2004,1334523,1373416,393664
District of Columbia,2004,1081501,1087040,397800
Florida,2004,21623923,21896220,6317387
Georgia,2004,14136215,13779680,3675160
Hawaii,2004,2138137,1734591,544864
Idaho,2004,1733838,1744954,507529
Illinois,2004,21082441,21681903,6608575
Indiana,2004,10423578,10312694,2986672
Iowa,2004,4396136,4443289,1236810
Kansas,2004,4377709,3982036,1229634
Kentucky,2004,5135262,5259909,1580235
Louisiana,2004,5713792,5708535,1743781
Maine,2004,2228749,2291174,590947
Maryland,2004,9123493,8921938,2673482
Massachusetts,2004,11979937,12033345,3557933
Michigan,2004,18663799,20060708,6332029
Minnesota,2004,8688315,8963393,2087673
Mississippi,2004,3481643,3473928,1035599
Missouri,2004,7893957,7896438,2357707
Montana,2004,1270790,1241417,400634
Nebraska,2004,2734724,2667987,712199
Nevada,2004,3069531,3228619,839920
New Hampshire,2004,2194562,2236010,607041
New Jersey,2004,21398391,21467607,6888193
New Mexico,2004,2855893,2882631,913532
New York,2004,40820776,42953568,10702312
North Carolina,2004,10569600,10263463,2870473
North Dakota,2004,925393,957480,249023
Ohio,2004,18878773,19375400,6384403
Oklahoma,2004,4622080,4400069,1450284
Oregon,2004,5086083,5393871,1559219
Pennsylvania,2004,21104028,22054811,6251075
Rhode Island,2004,1836758,1745707,561479
South Carolina,2004,5961494,6138231,1780063
South Dakota,2004,1007135,1012096,306877
Tennessee,2004,6349101,6738601,1796619
Texas,2004,36055119,38150452,10509643
Utah,2004,2997200,3066684,739158
Vermont,2004,1525776,1550157,368208
Virginia,2004,11151172,11404055,3400515
Washington,2004,8790531,9009980,2579078
West Virginia,2004,2585084,2603996,784602
Wisconsin,2004,9183588,9126345,2846939
Wyoming,2004,974888,953916,303976
Alabama,2003,5196054,5298932,1521462
Alaska,2003,1425948,1610289,514052
Arizona,2003,6529894,6210287,1964229
Arkansas,2003,3241275,3242799,972598
California,2003,59815855,59749885,17030335
Colorado,2003,6297242,6685029,2149761
Connecticut,2003,6959891,6751815,1951609
Delaware,2003,1242436,1317447,367660
District of Columbia,2003,1114061,1105963,406078
Florida,2003,19549835,20180142,5938231
Georgia,2003,13524807,13516783,3615906
Hawaii,2003,2078877,1602392,521929
Idaho,2003,1685984,1726941,510284
Illinois,2003,19627346,21278177,6336325
Indiana,2003,8246076,9777720,2848989
Iowa,2003,4374803,4517990,1208401
